location,year,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita
pennsylvania,1997,1.32,0.18,0.45,1.95
pennsylvania,1996,1.26,0.17,0.45,1.88
pennsylvania,1995,1.26,0.17,0.45,1.88
pennsylvania,1994,1.28,0.18,0.47,1.93
pennsylvania,1993,1.31,0.17,0.48,1.96
pennsylvania,1992,1.3,0.18,0.51,1.99
pennsylvania,1991,1.36,0.17,0.52,2.05
pennsylvania,1990,1.42,0.18,0.55,2.15
pennsylvania,1989,1.38,0.18,0.57,2.13
pennsylvania,1988,1.41,0.19,0.54,2.14
pennsylvania,1987,1.4,0.2,0.62,2.22
pennsylvania,1986,1.4,0.21,0.64,2.25
pennsylvania,1985,1.38,0.21,0.65,2.23
pennsylvania,1984,1.38,0.21,0.67,2.26
pennsylvania,1983,1.41,0.22,0.67,2.31
pennsylvania,1982,1.44,0.23,0.7,2.37
pennsylvania,1981,1.42,0.23,0.72,2.38
pennsylvania,1980,1.45,0.22,0.71,2.39
pennsylvania,1979,1.4,0.22,0.72,2.34
pennsylvania,1978,1.35,0.21,0.73,2.3
pennsylvania,1977,1.34,0.2,0.74,2.27
rhode island,2016,0.94,0.58,1.05,2.57
rhode island,2015,0.96,0.57,0.99,2.52
rhode island,2014,1.02,0.51,0.86,2.39
rhode island,2013,1,0.58,0.98,2.56
rhode island,2012,1.03,0.59,0.97,2.58
rhode island,2011,1.04,0.58,0.94,2.55
rhode island,2010,1.07,0.56,0.92,2.55
rhode island,2009,1.07,0.55,0.85,2.47
rhode island,2008,1.09,0.52,0.84,2.46
rhode island,2007,1.1,0.53,0.82,2.45
rhode island,2006,1.07,0.51,0.83,2.41
rhode island,2005,0.98,0.49,0.82,2.29
rhode island,2004,1.13,0.5,0.8,2.42
rhode island,2003,1.13,0.51,0.8,2.45
rhode island,2002,1.17,0.48,0.74,2.4
rhode island,2001,1.19,0.46,0.7,2.36
rhode island,2000,1.16,0.46,0.7,2.31
rhode island,1999,1.14,0.45,0.69,2.28
rhode island,1998,1.14,0.47,0.63,2.24
rhode island,1997,1.22,0.44,0.64,2.3
rhode island,1996,1.16,0.42,0.66,2.24
rhode island,1995,1.18,0.38,0.63,2.19
rhode island,1994,1.23,0.38,0.66,2.27
rhode island,1993,1.22,0.36,0.69,2.27
rhode island,1992,1.24,0.39,0.7,2.33
rhode island,1991,1.33,0.37,0.71,2.41
rhode island,1990,1.31,0.44,0.79,2.54
rhode island,1989,1.35,0.46,0.86,2.67
rhode island,1988,1.38,0.49,0.96,2.82
rhode island,1987,1.39,0.51,0.93,2.83
rhode island,1986,1.4,0.53,0.92,2.85
rhode island,1985,1.4,0.51,1.03,2.93
rhode island,1984,1.37,0.52,1.03,2.92
rhode island,1983,1.48,0.5,1.06,3.04
rhode island,1982,1.34,0.55,1.04,2.94
rhode island,1981,1.36,0.53,1.04,2.92
rhode island,1980,1.46,0.53,1.13,3.13
rhode island,1979,1.42,0.49,1.08,2.98
rhode island,1978,1.37,0.48,1.13,2.98
rhode island,1977,1.35,0.42,1.09,2.86
south carolina,2016,1.18,0.25,0.79,2.22
south carolina,2015,1.21,0.25,0.79,2.25
south carolina,2014,1.23,0.25,0.8,2.28
south carolina,2013,1.26,0.25,0.8,2.31
south carolina,2012,1.28,0.25,0.79,2.32
south carolina,2011,1.29,0.25,0.78,2.31
south carolina,2010,1.31,0.24,0.76,2.31
south carolina,2009,1.35,0.24,0.76,2.34
south carolina,2008,1.39,0.24,0.76,2.4
south carolina,2007,1.42,0.24,0.76,2.42
south carolina,2006,1.45,0.24,0.76,2.45
south carolina,2005,1.43,0.24,0.75,2.42
south carolina,2004,1.39,0.24,0.76,2.38
south carolina,2003,1.38,0.23,0.74,2.35
south carolina,2002,1.4,0.22,0.67,2.3
south carolina,2001,1.4,0.22,0.65,2.27
south carolina,2000,1.49,0.22,0.72,2.43
south carolina,1999,1.48,0.22,0.72,2.41
south carolina,1998,1.44,0.21,0.72,2.37
south carolina,1997,1.48,0.2,0.71,2.4
south carolina,1996,1.38,0.21,0.71,2.3
south carolina,1995,1.33,0.19,0.68,2.2
south carolina,1994,1.38,0.17,0.74,2.29
south carolina,1993,1.36,0.2,0.75,2.3
south carolina,1992,1.34,0.2,0.79,2.33
south carolina,1991,1.34,0.22,0.84,2.41
south carolina,1990,1.44,0.25,0.92,2.61
south carolina,1989,1.39,0.24,0.86,2.49
south carolina,1988,1.38,0.26,0.9,2.54
south carolina,1987,1.35,0.27,0.89,2.52
south carolina,1986,1.31,0.27,0.93,2.52
south carolina,1985,1.28,0.25,1,2.53
south carolina,1984,1.27,0.24,1.01,2.52
south carolina,1983,1.27,0.2,1.02,2.49
south carolina,1982,1.23,0.2,0.99,2.43
south carolina,1981,1.24,0.19,1.04,2.48
south carolina,1980,1.22,0.18,1.06,2.45
south carolina,1979,1.18,0.16,1.12,2.45
south carolina,1978,1.14,0.17,1.15,2.45
south carolina,1977,1.12,0.16,1.09,2.37
south dakota,2016,1.46,0.31,1.1,2.87
south dakota,2015,1.48,0.29,1.02,2.79
south dakota,2014,1.5,0.25,0.99,2.74
south dakota,2013,1.52,0.28,1.02,2.81
south dakota,2012,1.53,0.26,0.96,2.76
south dakota,2011,1.51,0.28,0.97,2.77
south dakota,2010,1.53,0.24,0.92,2.69
south dakota,2009,1.54,0.22,0.89,2.65
south dakota,2008,1.57,0.22,0.87,2.66
south dakota,2007,1.52,0.22,0.87,2.61
south dakota,2006,1.51,0.19,0.79,2.5
south dakota,2005,1.5,0.19,0.83,2.52
south dakota,2004,1.51,0.18,0.76,2.45
south dakota,2003,1.52,0.16,0.74,2.41
south dakota,2002,1.51,0.15,0.67,2.34
south dakota,2001,1.49,0.15,0.71,2.35
south dakota,2000,1.46,0.15,0.69,2.3
south dakota,1999,1.43,0.14,0.7,2.27
south dakota,1998,1.41,0.13,0.68,2.23
south dakota,1997,1.33,0.13,0.69,2.15
south dakota,1996,1.33,0.13,0.68,2.15
south dakota,1995,1.35,0.12,0.73,2.21
south dakota,1994,1.38,0.12,0.73,2.24
south dakota,1993,1.35,0.12,0.73,2.2
south dakota,1992,1.37,0.15,0.74,2.26
south dakota,1991,1.37,0.15,0.76,2.27
south dakota,1990,1.36,0.18,0.8,2.34
south dakota,1989,1.3,0.15,0.72,2.17
south dakota,1988,1.25,0.16,0.79,2.21
south dakota,1987,1.27,0.2,0.81,2.28
south dakota,1986,1.26,0.2,0.83,2.29
south dakota,1985,1.23,0.18,0.95,2.35
south dakota,1984,1.28,0.17,0.9,2.35
south dakota,1983,1.31,0.17,0.96,2.44
south dakota,1982,1.29,0.18,0.97,2.44
south dakota,1981,1.31,0.19,1.04,2.54
south dakota,1980,1.3,0.18,1.07,2.56
south dakota,1979,1.23,0.17,1.04,2.44
south dakota,1978,1.2,0.17,1.05,2.42
south dakota,1977,1.16,0.17,1.07,2.39
tennessee,2016,1.02,0.33,0.79,2.14
tennessee,2015,1.03,0.27,0.76,2.06
tennessee,2014,1.04,0.25,0.73,2.02
tennessee,2013,1.05,0.25,0.7,2
tennessee,2012,1.07,0.25,0.68,2
tennessee,2011,1.13,0.24,0.66,2.04
tennessee,2010,1.04,0.22,0.61,1.88
tennessee,2009,1.05,0.21,0.57,1.83
tennessee,2008,1.1,0.2,0.57,1.87
tennessee,2007,1.13,0.2,0.56,1.9
tennessee,2006,1.14,0.19,0.56,1.89
tennessee,2005,1.19,0.19,0.55,1.92
tennessee,2004,1.22,0.18,0.53,1.93
tennessee,2003,1.27,0.18,0.52,1.96
tennessee,2002,1.17,0.17,0.51,1.86
tennessee,2001,1.15,0.16,0.5,1.81
tennessee,2000,1.19,0.16,0.51,1.85
tennessee,1999,1.19,0.15,0.49,1.83
tennessee,1998,1.19,0.15,0.5,1.84
tennessee,1997,1.14,0.15,0.5,1.8
tennessee,1996,1.14,0.15,0.51,1.8
tennessee,1995,1.17,0.15,0.51,1.83
tennessee,1994,1.18,0.15,0.53,1.86
tennessee,1993,1.2,0.14,0.54,1.87
tennessee,1992,1.21,0.14,0.56,1.9
tennessee,1991,1.19,0.13,0.54,1.87
tennessee,1990,1.22,0.14,0.6,1.96
tennessee,1989,1.2,0.14,0.6,1.93
tennessee,1988,1.22,0.15,0.61,1.97
tennessee,1987,1.19,0.15,0.63,1.97
tennessee,1986,1.18,0.16,0.63,1.98
tennessee,1985,1.12,0.16,0.68,1.97
tennessee,1984,1.11,0.15,0.7,1.97
tennessee,1983,1.11,0.14,0.7,1.95
tennessee,1982,1.13,0.14,0.7,1.97
tennessee,1981,1.14,0.13,0.71,1.98
tennessee,1980,1.1,0.12,0.69,1.91
tennessee,1979,1.1,0.11,0.7,1.91
tennessee,1978,1.12,0.1,0.7,1.93
tennessee,1977,1.07,0.1,0.69,1.86
texas,2016,1.3,0.34,0.69,2.34
texas,2015,1.28,0.33,0.67,2.29
texas,2014,1.25,0.33,0.65,2.24
texas,2013,1.3,0.32,0.63,2.25
texas,2012,1.33,0.32,0.63,2.28
texas,2011,1.35,0.31,0.61,2.27
texas,2010,1.35,0.29,0.59,2.23
texas,2009,1.41,0.28,0.58,2.26
texas,2008,1.43,0.27,0.58,2.28
texas,2007,1.41,0.27,0.56,2.24
texas,2006,1.43,0.26,0.55,2.24
texas,2005,1.43,0.25,0.53,2.2
texas,2004,1.45,0.24,0.52,2.21
texas,2003,1.46,0.23,0.51,2.19
texas,2002,1.49,0.22,0.5,2.21
texas,2001,1.51,0.21,0.49,2.21
texas,2000,1.53,0.22,0.5,2.25
texas,1999,1.54,0.2,0.49,2.23
texas,1998,1.52,0.2,0.5,2.21
texas,1997,1.56,0.19,0.47,2.22
texas,1996,1.57,0.2,0.49,2.26
texas,1995,1.58,0.19,0.5,2.27
texas,1994,1.6,0.2,0.51,2.31
texas,1993,1.6,0.2,0.53,2.33
texas,1992,1.65,0.24,0.55,2.45
texas,1991,1.6,0.25,0.55,2.4
texas,1990,1.64,0.26,0.58,2.47
texas,1989,1.62,0.27,0.58,2.46
texas,1988,1.61,0.28,0.59,2.47
texas,1987,1.62,0.29,0.61,2.52
texas,1986,1.67,0.31,0.65,2.63
texas,1985,1.68,0.3,0.73,2.71
texas,1984,1.73,0.28,0.79,2.8
texas,1983,1.72,0.27,0.79,2.78
texas,1982,1.83,0.18,0.84,2.84
texas,1981,1.84,0.24,0.85,2.94
texas,1980,1.75,0.22,0.8,2.77
texas,1979,1.7,0.14,0.84,2.68
texas,1978,1.64,0.14,0.82,2.6
texas,1977,1.59,0.14,0.78,2.51
utah,2016,0.63,0.19,0.52,1.34
utah,2015,0.65,0.2,0.54,1.39
utah,2014,0.66,0.19,0.52,1.37
utah,2013,0.67,0.19,0.51,1.36
utah,2012,0.69,0.19,0.5,1.37
utah,2011,0.68,0.18,0.49,1.36
utah,2010,0.7,0.18,0.47,1.35
utah,2009,0.72,0.17,0.47,1.36
utah,2008,0.76,0.17,0.47,1.41
utah,2007,0.77,0.16,0.44,1.38
utah,2006,0.73,0.16,0.44,1.33
utah,2005,0.7,0.16,0.41,1.27
utah,2004,0.76,0.15,0.39,1.3
utah,2003,0.76,0.14,0.39,1.3
utah,2002,0.77,0.14,0.39,1.3
utah,2001,0.77,0.14,0.39,1.3
utah,2000,0.75,0.14,0.4,1.29
utah,1999,0.74,0.13,0.38,1.25
utah,1998,0.77,0.13,0.37,1.27
utah,1997,0.75,0.13,0.39,1.27
utah,1996,0.73,0.13,0.37,1.23
utah,1995,0.71,0.11,0.37,1.19
utah,1994,0.76,0.09,0.38,1.24
utah,1993,0.78,0.11,0.39,1.28
utah,1992,0.79,0.12,0.42,1.33
utah,1991,0.8,0.12,0.43,1.34
utah,1990,0.8,0.12,0.46,1.39
utah,1989,0.81,0.13,0.47,1.41
utah,1988,0.82,0.14,0.48,1.45
utah,1987,0.84,0.15,0.49,1.49
utah,1986,0.88,0.16,0.52,1.57
utah,1985,0.89,0.15,0.53,1.57
utah,1984,0.89,0.14,0.52,1.55
utah,1983,0.89,0.14,0.51,1.54
utah,1982,1.01,0.15,0.55,1.7
utah,1981,1.02,0.15,0.59,1.75
utah,1980,0.96,0.14,0.6,1.7
utah,1979,0.94,0.15,0.59,1.68
utah,1978,0.93,0.14,0.59,1.66
utah,1977,0.94,0.13,0.57,1.64
vermont,2016,1.56,0.79,0.73,3.08
vermont,2015,1.57,0.78,0.73,3.07
vermont,2014,1.55,0.78,0.72,3.05
vermont,2013,1.54,0.74,0.72,3
vermont,2012,1.51,0.7,0.71,2.92
vermont,2011,1.46,0.68,0.71,2.85
vermont,2010,1.44,0.64,0.71,2.8
vermont,2009,1.43,0.64,0.7,2.77
vermont,2008,1.45,0.63,0.71,2.79
vermont,2007,1.46,0.62,0.7,2.78
vermont,2006,1.45,0.6,0.69,2.73
vermont,2005,1.44,0.57,0.68,2.69
vermont,2004,1.34,0.55,0.66,2.56
vermont,2003,1.34,0.52,0.65,2.51
vermont,2002,1.34,0.51,0.63,2.48
vermont,2001,1.34,0.48,0.63,2.45
vermont,2000,1.32,0.49,0.63,2.43
vermont,1999,1.32,0.48,0.62,2.42
vermont,1998,1.31,0.46,0.62,2.39
vermont,1997,1.29,0.45,0.63,2.37
vermont,1996,1.35,0.43,0.64,2.42
vermont,1995,1.28,0.41,0.66,2.35
vermont,1994,1.34,0.42,0.74,2.5
vermont,1993,1.34,0.44,0.74,2.52
vermont,1992,1.35,0.44,0.78,2.57
vermont,1991,1.41,0.46,0.82,2.69
vermont,1990,1.47,0.48,0.85,2.8
vermont,1989,1.49,0.53,0.89,2.91
vermont,1988,1.54,0.57,0.95,3.05
vermont,1987,1.58,0.59,1,3.18
vermont,1986,1.57,0.6,1.06,3.22
vermont,1985,1.51,0.56,1.1,3.17
vermont,1984,1.49,0.49,1.16,3.15
vermont,1983,1.53,0.5,1.2,3.23
vermont,1982,1.48,0.5,1.24,3.22
vermont,1981,1.49,0.5,1.34,3.32
vermont,1980,1.43,0.48,1.38,3.29
vermont,1979,1.53,0.46,1.47,3.46
vermont,1978,1.5,0.46,1.56,3.52
vermont,1977,1.4,0.44,1.55,3.38
virginia,2016,1,0.49,0.66,2.14
virginia,2015,1,0.48,0.65,2.13
virginia,2014,1.01,0.47,0.63,2.11
virginia,2013,1.02,0.46,0.62,2.1
virginia,2012,1.04,0.46,0.62,2.12
virginia,2011,1.05,0.46,0.61,2.12
virginia,2010,1.08,0.44,0.6,2.12
virginia,2009,1.1,0.42,0.58,2.11
virginia,2008,1.12,0.42,0.58,2.12
virginia,2007,1.13,0.41,0.57,2.1
virginia,2006,1.13,0.39,0.56,2.08
virginia,2005,1.13,0.38,0.54,2.05
virginia,2004,1.14,0.37,0.53,2.04
virginia,2003,1.14,0.36,0.52,2.02
virginia,2002,1.15,0.34,0.51,2
virginia,2001,1.15,0.32,0.5,1.97
virginia,2000,1.16,0.31,0.49,1.97
virginia,1999,1.18,0.32,0.48,1.97
virginia,1998,1.17,0.3,0.47,1.95
virginia,1997,1.11,0.29,0.48,1.88
virginia,1996,1.12,0.3,0.49,1.91
virginia,1995,1.15,0.29,0.5,1.94
virginia,1994,1.2,0.27,0.51,1.99
virginia,1993,1.24,0.27,0.54,2.05
virginia,1992,1.25,0.28,0.57,2.1
virginia,1991,1.2,0.28,0.58,2.06
virginia,1990,1.25,0.3,0.62,2.18
virginia,1989,1.23,0.31,0.65,2.18
virginia,1988,1.31,0.25,0.67,2.24
virginia,1987,1.39,0.25,0.7,2.35
virginia,1986,1.52,0.27,0.73,2.52
virginia,1985,1.45,0.3,0.79,2.54
virginia,1984,1.46,0.29,0.8,2.55
virginia,1983,1.47,0.27,0.82,2.56
virginia,1982,1.46,0.27,0.86,2.59
virginia,1981,1.23,0.27,0.89,2.39
virginia,1980,1.23,0.25,0.9,2.38
virginia,1979,1.21,0.25,0.9,2.36
virginia,1978,1.2,0.21,0.89,2.3
virginia,1977,1.17,0.21,0.89,2.27
washington,2016,0.96,0.52,0.78,2.26
washington,2015,0.97,0.53,0.77,2.26
washington,2014,0.97,0.53,0.76,2.26
washington,2013,0.95,0.53,0.76,2.24
washington,2012,0.96,0.53,0.76,2.25
washington,2011,0.97,0.54,0.75,2.25
washington,2010,1.01,0.52,0.73,2.25
washington,2009,1.1,0.51,0.74,2.34
washington,2008,1.11,0.5,0.75,2.37
washington,2007,1.14,0.5,0.74,2.38
washington,2006,1.08,0.48,0.72,2.28
washington,2005,1.11,0.55,0.68,2.34
washington,2004,1.11,0.53,0.66,2.3
washington,2003,1.07,0.47,0.68,2.21
washington,2002,1.09,0.43,0.66,2.17
washington,2001,1.09,0.4,0.65,2.15
washington,2000,1.11,0.41,0.66,2.18
washington,1999,1.11,0.4,0.63,2.14
washington,1998,1.12,0.39,0.63,2.14
washington,1997,1.09,0.42,0.63,2.15
washington,1996,1.09,0.4,0.63,2.12
washington,1995,1.17,0.4,0.63,2.2
washington,1994,1.18,0.39,0.65,2.23
washington,1993,1.19,0.39,0.69,2.27
washington,1992,1.26,0.46,0.72,2.44
washington,1991,1.23,0.43,0.73,2.39
washington,1990,1.27,0.46,0.76,2.49
washington,1989,1.25,0.47,0.76,2.47
washington,1988,1.23,0.5,0.77,2.51
washington,1987,1.24,0.56,0.79,2.59
washington,1986,1.23,0.61,0.82,2.66
washington,1985,1.21,0.59,0.87,2.67
washington,1984,1.23,0.57,0.91,2.7
washington,1983,1.29,0.54,0.94,2.76
washington,1982,1.32,0.52,0.98,2.83
washington,1981,1.38,0.54,1.04,2.96
washington,1980,1.51,0.51,1.08,3.1
washington,1979,1.39,0.47,1.08,2.94
washington,1978,1.36,0.47,1.07,2.91
washington,1977,1.34,0.45,1.06,2.85
west virginia,2016,1.19,0.11,0.46,1.76
west virginia,2015,1.21,0.11,0.47,1.78
west virginia,2014,1.21,0.1,0.47,1.78
west virginia,2013,1.24,0.1,0.46,1.8
west virginia,2012,1.24,0.1,0.47,1.8
west virginia,2011,1.22,0.1,0.46,1.78
west virginia,2010,1.23,0.1,0.44,1.78
west virginia,2009,1.23,0.1,0.44,1.77
west virginia,2008,1.25,0.1,0.43,1.79
west virginia,2007,1.23,0.1,0.42,1.75
west virginia,2006,1.21,0.1,0.41,1.72
west virginia,2005,1.23,0.1,0.4,1.73
west virginia,2004,1.25,0.1,0.39,1.75
west virginia,2003,1.23,0.1,0.38,1.72
west virginia,2002,1.26,0.1,0.38,1.74
west virginia,2001,1.25,0.1,0.37,1.72
west virginia,2000,1.24,0.1,0.36,1.7
west virginia,1999,1.22,0.1,0.37,1.69
west virginia,1998,1.18,0.09,0.36,1.64
west virginia,1997,1.12,0.09,0.37,1.58
west virginia,1996,1.12,0.09,0.37,1.58
west virginia,1995,1.12,0.08,0.38,1.58
west virginia,1994,1.17,0.08,0.39,1.64
west virginia,1993,1.18,0.08,0.4,1.67
west virginia,1992,1.16,0.09,0.41,1.66
west virginia,1991,1.18,0.09,0.43,1.7
west virginia,1990,1.2,0.1,0.42,1.72
west virginia,1989,1.15,0.11,0.39,1.65
west virginia,1988,1.15,0.12,0.41,1.68
west virginia,1987,1.13,0.13,0.41,1.68
west virginia,1986,1.12,0.13,0.42,1.67
west virginia,1985,1.13,0.13,0.42,1.69
west virginia,1984,1.13,0.12,0.45,1.7
west virginia,1983,1.14,0.13,0.49,1.76
west virginia,1982,1.11,0.14,0.55,1.8
west virginia,1981,1.05,0.14,0.65,1.85
west virginia,1980,1,0.09,0.72,1.81
west virginia,1979,0.94,0.09,0.75,1.77
west virginia,1978,0.93,0.09,0.76,1.78
west virginia,1977,0.95,0.09,0.76,1.8
wisconsin,2016,1.36,0.4,1.22,2.98
wisconsin,2015,1.39,0.39,1.2,2.98
wisconsin,2014,1.41,0.38,1.18,2.97
wisconsin,2013,1.45,0.38,1.17,2.99
wisconsin,2012,1.46,0.37,1.18,3.02
wisconsin,2011,1.46,0.37,1.16,2.98
wisconsin,2010,1.49,0.32,1.13,2.94
wisconsin,2009,1.49,0.31,1.16,2.96
wisconsin,2008,1.55,0.34,1.13,3.01
wisconsin,2007,1.56,0.33,1.11,3
wisconsin,2006,1.58,0.32,1.09,2.99
wisconsin,2005,1.58,0.31,1.07,2.95
wisconsin,2004,1.53,0.3,1.02,2.85
wisconsin,2003,1.53,0.29,1,2.82
wisconsin,2002,1.56,0.28,0.98,2.82
wisconsin,2001,1.54,0.26,0.95,2.75
wisconsin,2000,1.53,0.27,0.95,2.76
wisconsin,1999,1.53,0.26,0.92,2.72
wisconsin,1998,1.58,0.26,0.9,2.74
wisconsin,1997,1.57,0.25,0.89,2.71
wisconsin,1996,1.53,0.24,0.88,2.65
wisconsin,1995,1.64,0.23,0.87,2.73
wisconsin,1994,1.58,0.22,0.91,2.72
wisconsin,1993,1.59,0.22,0.89,2.71
wisconsin,1992,1.59,0.25,0.9,2.74
wisconsin,1991,1.65,0.27,0.84,2.76
wisconsin,1990,1.74,0.31,1.03,3.07
wisconsin,1989,1.72,0.31,0.96,2.99
wisconsin,1988,1.76,0.33,0.95,3.05
wisconsin,1987,1.8,0.36,0.98,3.14
wisconsin,1986,1.88,0.34,0.96,3.18
wisconsin,1985,1.83,0.32,1.06,3.2
wisconsin,1984,1.87,0.31,1.03,3.21
wisconsin,1983,1.94,0.34,1.07,3.35
wisconsin,1982,1.95,0.3,1.05,3.3
wisconsin,1981,1.96,0.32,1.21,3.48
wisconsin,1980,1.95,0.31,1.19,3.45
wisconsin,1979,1.92,0.28,1.19,3.39
wisconsin,1978,1.83,0.28,1.2,3.31
wisconsin,1977,1.81,0.27,1.28,3.37
wyoming,2016,1.18,0.32,1.17,2.67
wyoming,2015,1.24,0.31,1.18,2.74
wyoming,2014,1.25,0.31,1.16,2.72
wyoming,2013,1.24,0.29,1.13,2.67
wyoming,2012,1.32,0.28,1.13,2.73
wyoming,2011,1.29,0.27,1.1,2.66
wyoming,2010,1.33,0.27,1.06,2.66
wyoming,2009,1.4,0.27,1.06,2.73
wyoming,2008,1.5,0.27,1.09,2.87
wyoming,2007,1.46,0.27,1.07,2.8
wyoming,2006,1.44,0.26,1.03,2.72
wyoming,2005,1.2,0.25,0.96,2.41
wyoming,2004,1.42,0.24,0.92,2.58
wyoming,2003,1.7,0.23,0.9,2.84
wyoming,2002,1.46,0.23,0.88,2.57
wyoming,2001,1.44,0.22,0.88,2.53
wyoming,2000,1.42,0.22,0.86,2.5
wyoming,1999,1.41,0.22,0.84,2.47
wyoming,1998,1.37,0.17,0.81,2.36
wyoming,1997,1.41,0.17,0.81,2.4
wyoming,1996,1.35,0.17,0.81,2.33
wyoming,1995,1.34,0.16,0.8,2.29
wyoming,1994,1.42,0.18,0.83,2.43
wyoming,1993,1.4,0.19,0.86,2.45
wyoming,1992,1.44,0.2,0.91,2.56
wyoming,1991,1.45,0.2,0.9,2.56
wyoming,1990,1.48,0.22,0.93,2.63
wyoming,1989,1.41,0.23,0.86,2.5
wyoming,1988,1.45,0.24,0.87,2.56
wyoming,1987,1.51,0.25,0.9,2.66
wyoming,1986,1.51,0.27,0.96,2.73
wyoming,1985,1.59,0.25,1.05,2.89
wyoming,1984,1.61,0.23,1.06,2.89
wyoming,1983,1.68,0.22,1.11,3.01
wyoming,1982,1.78,0.24,1.2,3.22
wyoming,1981,1.91,0.24,1.27,3.43
wyoming,1980,1.85,0.24,1.32,3.41
wyoming,1979,1.86,0.22,1.3,3.39
wyoming,1978,1.81,0.22,1.35,3.38
wyoming,1977,1.78,0.2,1.31,3.29
northeast region,2016,1.03,0.52,0.86,2.42
northeast region,2015,1.03,0.51,0.84,2.39
northeast region,2014,1.03,0.53,0.84,2.39
northeast region,2013,1.05,0.52,0.83,2.4
northeast region,2012,1.06,0.51,0.82,2.39
northeast region,2011,1.05,0.5,0.8,2.36
northeast region,2010,1.06,0.49,0.78,2.33
northeast region,2009,1.07,0.48,0.77,2.31
northeast region,2008,1.09,0.47,0.76,2.31
northeast region,2007,1.09,0.47,0.75,2.31
northeast region,2006,1.07,0.45,0.73,2.25
northeast region,2005,1.07,0.44,0.72,2.22
northeast region,2004,1.07,0.43,0.7,2.2
northeast region,2003,1.08,0.41,0.68,2.17
northeast region,2002,1.1,0.4,0.66,2.16
northeast region,2001,1.1,0.38,0.64,2.13
northeast region,2000,1.08,0.38,0.66,2.12
northeast region,1999,1.07,0.38,0.63,2.08
northeast region,1998,1.07,0.37,0.61,2.05
northeast region,1997,1.07,0.36,0.63,2.06
northeast region,1996,1.07,0.36,0.64,2.06
northeast region,1995,1.11,0.35,0.64,2.11
northeast region,1994,1.11,0.34,0.67,2.12
northeast region,1993,1.13,0.34,0.68,2.15
northeast region,1992,1.14,0.35,0.72,2.21
northeast region,1991,1.19,0.34,0.73,2.26
northeast region,1990,1.23,0.38,0.8,2.41
northeast region,1989,1.22,0.39,0.84,2.44
northeast region,1988,1.25,0.4,0.86,2.51
northeast region,1987,1.25,0.43,0.91,2.59
northeast region,1986,1.24,0.44,0.93,2.62
northeast region,1985,1.25,0.43,0.98,2.66
northeast region,1984,1.25,0.43,1.01,2.7
northeast region,1983,1.31,0.43,1.03,2.76
northeast region,1982,1.31,0.43,1.06,2.8
northeast region,1981,1.31,0.42,1.07,2.8
northeast region,1980,1.33,0.4,1.09,2.83
northeast region,1979,1.29,0.38,1.09,2.76
northeast region,1978,1.26,0.36,1.1,2.73
northeast region,1977,1.25,0.34,1.1,2.69
midwest region,2016,1.14,0.35,0.87,2.37
midwest region,2015,1.15,0.35,0.86,2.36
midwest region,2014,1.16,0.34,0.84,2.35
midwest region,2013,1.17,0.34,0.83,2.34
midwest region,2012,1.2,0.33,0.82,2.35
midwest region,2011,1.2,0.32,0.79,2.31
midwest region,2010,1.23,0.3,0.77,2.3
midwest region,2009,1.25,0.3,0.76,2.32
midwest region,2008,1.27,0.29,0.76,2.33
midwest region,2007,1.28,0.3,0.74,2.32
midwest region,2006,1.27,0.28,0.72,2.27
midwest region,2005,1.27,0.27,0.71,2.25
midwest region,2004,1.28,0.26,0.68,2.22
midwest region,2003,1.28,0.26,0.68,2.23
midwest region,2002,1.3,0.25,0.64,2.19
midwest region,2001,1.29,0.23,0.65,2.17
midwest region,2000,1.29,0.24,0.63,2.16
midwest region,1999,1.29,0.24,0.63,2.15
midwest region,1998,1.28,0.23,0.63,2.14
midwest region,1997,1.26,0.23,0.62,2.11
midwest region,1996,1.28,0.23,0.62,2.12
midwest region,1995,1.29,0.22,0.62,2.12
midwest region,1994,1.3,0.22,0.63,2.14
midwest region,1993,1.3,0.22,0.67,2.18
midwest region,1992,1.31,0.23,0.68,2.21
midwest region,1991,1.35,0.23,0.67,2.25
midwest region,1990,1.38,0.26,0.74,2.37
midwest region,1989,1.36,0.26,0.72,2.35
midwest region,1988,1.38,0.29,0.75,2.41
midwest region,1987,1.38,0.3,0.77,2.45
midwest region,1986,1.38,0.3,0.78,2.46
midwest region,1985,1.37,0.28,0.84,2.49
midwest region,1984,1.4,0.27,0.84,2.52
midwest region,1983,1.42,0.25,0.87,2.54
midwest region,1982,1.42,0.27,0.88,2.57
midwest region,1981,1.42,0.26,0.93,2.61
midwest region,1980,1.42,0.24,0.96,2.63
midwest region,1979,1.4,0.23,0.95,2.58
midwest region,1978,1.35,0.22,0.95,2.52
midwest region,1977,1.32,0.21,0.96,2.49
south region,2016,1.11,0.37,0.79,2.27
south region,2015,1.12,0.36,0.77,2.24
south region,2014,1.11,0.35,0.75,2.22
south region,2013,1.16,0.34,0.74,2.24
south region,2012,1.18,0.34,0.73,2.25
south region,2011,1.16,0.33,0.71,2.21
south region,2010,1.17,0.32,0.7,2.19
south region,2009,1.21,0.31,0.69,2.21
south region,2008,1.24,0.31,0.68,2.23
south region,2007,1.26,0.31,0.68,2.24
south region,2006,1.27,0.3,0.67,2.23
